10,10,10,10,DeltamapZ,DeltamapZ,DeltamapZ,DeltamapZ,cMapZ,cMapZ,cMapZ,cMapZ
Experiment_1,Experiment_2,Experiment_3,Experiment_4,Experiment_1,Experiment_2,Experiment_3,Experiment_4,Experiment_1,Experiment_2,Experiment_3,Experiment_4
0.58885955,0.50896725,0.57103025,0.5309768,0.61175848,0.52925552,0.77318819,0.63105742,0.58927291,0.67982879,0.56370536,0.6284534
0.61755345,0.48412848,0.69053918,0.61088108,0.6110156,0.6537865,0.53666672,0.56686683,0.49739365,0.62721261,0.5078444,0.56548021
0.60261408,0.48731415,0.54774308,0.51593021,0.67061801,0.54539248,0.56447802,0.71926731,0.4987878,0.50136131,0.53050326,0.63338403
0.57795872,0.46656713,0.46816496,0.54173408,0.63736397,0.51073062,0.62133778,0.59045665,0.4191649,0.48667908,0.4475314,0.57541174
0.46660223,0.45255332,0.4976926,0.78511934,0.88602634,0.53558047,0.62190316,0.57701742,0.51685361,0.49680744,0.44444651,0.54956425
0.435764,0.52896522,0.57785096,0.65692243,0.58073345,0.47359826,0.80099399,0.94830911,0.46976751,0.48978155,0.44223693,0.61542592
0.46554001,0.51100007,0.50921067,0.66390109,0.6204499,0.55692154,0.61477662,0.59559787,0.50397253,0.51921024,0.47952931,0.60810569
0.43958832,0.52888,0.58293245,0.53962288,0.65394209,0.5370672,0.90862528,0.82030295,0.4712867,0.50376081,0.48253256,0.58391001
0.47092365,0.57207922,0.52535559,0.56760548,0.73969894,0.58171969,0.82222064,0.76438092,0.53890004,0.50961615,0.53510156,0.62661432
0.51223738,0.46909448,0.53349558,0.50661901,0.46424023,0.65527104,0.61043074,0.54691019,0.59404582,0.49502666,0.60141633,0.55992583
0.46947214,0.48218512,0.5172093,0.54243114,0.40874488,0.56924159,0.70792684,0.59490829,0.4906372,0.48456197,0.54626724,0.62966783
0.4665397,0.52689266,0.50619298,0.51526309,0.43344565,0.56951466,0.82226206,0.73138684,0.59110278,0.59599053,0.5530732,0.60037225
0.47745569,0.48873289,0.54801502,0.55599388,0.43506518,0.71422889,0.76312088,0.59513458,0.60438202,0.58634407,0.50587685,0.56373066
0.49465182,0.53142127,0.52879333,0.64453994,0.46434041,0.92256324,0.46936949,0.75794523,0.55365021,0.54336019,0.49959066,0.59775461
0.45339436,0.52238632,0.55372832,0.43289326,0.44225333,0.54619586,0.50244848,0.79705537,0.60785638,0.58071056,0.49451543,0.59962884
0.56171602,0.4839315,0.51492787,0.43010294,0.44228572,0.59462945,0.40873373,0.91056186,0.61540587,0.55613067,0.64513379,0.60614761
0.51629719,0.50923653,0.46123733,0.42095175,0.53819291,0.53951462,0.43015455,0.60772473,0.51210329,0.58871726,0.57924522,0.88682351
0.49632948,0.47639702,0.58277279,0.46056158,0.54846619,0.65494391,0.42692703,0.57930302,0.58041404,0.5218354,0.49316621,0.56350178
0.50317181,0.63783062,0.53276207,0.55923623,0.4796315,0.59352724,0.473767,0.62626634,0.52723243,0.50010733,0.52701079,0.649236
0.51331526,0.51459665,0.51293293,0.52194913,0.55758198,0.59301948,0.44505928,0.65207934,0.57549291,0.56862789,0.54924917,0.58500757
0.48520987,0.49997114,0.5161901,0.49857651,0.53158973,0.6739709,0.57092478,0.58783247,0.56309425,0.52711106,0.51355443,0.60354434
0.62967602,0.49406025,0.54894556,0.52548316,0.45324762,0.67448363,0.42011268,0.66951996,0.53214896,0.53887508,0.62169666,0.55642721
0.5618388,0.51726624,0.53577635,0.47961525,0.46746091,0.64232281,0.53122498,0.66215927,0.56424298,0.57763521,0.56212431,0.4156905
0.54350608,0.78356787,0.79042653,0.53673156,0.69105343,0.68985647,0.46792694,0.78084112,0.56802242,0.51196377,0.56634378,0.45825978
0.51001556,0.51812247,0.5068322,0.53418231,0.69147324,0.67546428,0.44168661,0.91962545,0.62268977,0.54408974,0.56963844,0.42692213
0.52573627,0.53397009,0.52953296,0.51962441,0.59106025,0.65437341,0.62137705,0.5814459,0.62270621,0.60252408,0.59383364,0.5211209
0.51795684,0.63228018,0.52856624,0.59490354,0.67911519,0.74313114,0.50636532,0.68078571,0.60373211,0.55874573,0.57776849,0.49919842
0.62959891,0.52527816,0.60723786,0.54045437,0.95428941,0.64399914,0.50319975,0.57461228,0.52587665,0.56956959,0.51897656,0.52388306
0.52769578,0.5482623,0.51082516,0.52161401,0.5212138,0.72988249,0.52151046,0.83706502,1.02522981,0.57968596,0.64693187,0.50158739
0.53857434,0.58087671,0.53944098,0.59361479,0.69311879,0.66624868,0.58953573,0.49841512,0.60741691,0.51056911,0.57560202,0.5070679
0.56494464,0.70766383,0.52813108,0.51606007,0.67647471,0.60578454,0.52172971,0.70652451,0.63225212,0.60425809,0.61060091,0.49849502
0.54737822,0.48865809,0.51854701,0.56202079,0.55527336,0.63245224,0.47293982,0.59925008,0.54862923,0.54659573,0.53967509,0.5100874
0.51961883,0.55355896,0.50668281,0.5325454,0.52761847,0.65616565,0.44089655,0.96780993,0.68333987,0.55251367,0.59665235,0.50242224
0.48896123,0.53852798,0.56814999,0.59234068,0.68451284,0.56196039,0.53614747,0.72624477,0.5880893,0.55919882,0.48277884,0.51099867
0.52911289,0.58102323,0.55605589,0.5266971,0.6527534,0.7424967,0.48372239,0.7112632,0.64089628,0.61429569,0.58851667,0.52766742
0.53265897,0.52880365,0.54572774,0.58494642,0.58818114,0.66620423,0.72085844,0.9449929,0.63788053,0.59459603,0.61531905,0.51192054
0.54947698,0.62157542,0.52657263,0.66342746,0.52701024,0.5368645,0.50436999,0.75557066,0.59574609,0.60592384,0.59522402,0.59353049
0.58756027,0.80982083,0.539037,0.56982244,0.58738695,0.81358901,0.5266053,0.62113641,0.62539027,0.58269469,0.89232386,0.51313103
0.61755982,0.6142042,0.49205364,0.4906329,0.56649744,0.42117895,0.69429435,0.53668258,0.61322173,0.52316913,0.66373042,0.56547746
